Model ID,Object
dall-e-3,model
gpt-4-1106-preview,model
whisper-1,model
gpt-4o-2024-05-13,model
babbage-002,model
dall-e-2,model
gpt-3.5-turbo-16k,model
tts-1-hd-1106,model
tts-1-hd,model
gpt-4o,model
gpt-3.5-turbo-instruct-0914,model
gpt-3.5-turbo-instruct,model
text-embedding-3-small,model
gpt-4-turbo-2024-04-09,model
tts-1,model
gpt-4-turbo,model
text-embedding-3-large,model
gpt-3.5-turbo-1106,model
gpt-4-0125-preview,model
gpt-3.5-turbo-0125,model
gpt-3.5-turbo,model
gpt-3.5-turbo-0301,model
gpt-4-turbo-preview,model
tts-1-1106,model
gpt-3.5-turbo-16k-0613,model
gpt-3.5-turbo-0613,model
gpt-4,model
text-embedding-ada-002,model
gpt-4-1106-vision-preview,model
davinci-002,model
gpt-4-0613,model
gpt-4-vision-preview,model
